date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:48	8766/8766	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:58:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img6.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img6.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:51	178710/178710	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:25:46%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb1.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:56	136890/136890	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:27:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb3.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:58	158090/158090	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2019:26:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb2.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/blog/blog-thumb2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:39:59	48944/48944	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202018%2019:29:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/bootstrap.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:40:00	8415/8415	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:34:24%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.slicknav.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.slicknav.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:40:00	1074/1074	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202018%2023:36:24%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/counterup.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/counterup.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:40:01	85578/85578	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Dec%202017%2009:22:58%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/jquery-2.2.4.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/jquery-2.2.4.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:40:01	8051/8051	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202018%2023:36:58%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/waypoints.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/waypoints.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:40:01	5447/5447	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:33:32%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/imagesloaded.pkgd.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
